ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",776598,0.0006,0.4048,0.5377,0.0575,611341,0.6678,0.3322,0.1977,0.0281,0.0596,0.0451,0.009,
"2",774631,-0.002,0.4784,0.4731,0.0486,617732,0.5298,0.4702,0.1839,0.1212,0.1439,0.0262,0.0148,
"3",779251,0.004,0.666,0.2786,0.0554,578835,0.2625,0.7375,0.454,0.1907,0.0812,0.0328,0.014,
"4",774134,-0.0026,0.4756,0.4767,0.0476,605418,0.5255,0.4745,0.1852,0.0997,0.1668,0.0253,0.02,
"",776152,0.0066,0.4877,0.4601,0.0522,603332,0.4996,0.5004,0.2525,0.1089,0.1133,0.0324,0.0144,
