ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",789668,-0.0028,0.5277,0.4277,0.0447,604095,0.504,0.496,0.1856,0.1858,0.0382,0.1032,0.0028,
"2",793758,0.0024,0.2723,0.6921,0.0356,601157,0.671,0.329,0.0527,0.0418,0.025,0.2127,0.0016,
"3",794170,0.0029,0.2368,0.7285,0.0347,596474,0.7082,0.2918,0.1077,0.0624,0.0214,0.103,0.006,
"4",791350,-0.0007,0.2417,0.727,0.0313,605009,0.7058,0.2942,0.0493,0.0437,0.0087,0.1957,0.0018,
"5",790407,-0.0018,0.3764,0.5786,0.0451,603963,0.6732,0.3268,0.0956,0.0958,0.0517,0.088,0.0027,
"",791869,0.0057,0.325,0.6369,0.0381,602140,0.6523,0.3477,0.0982,0.086,0.029,0.1406,0.003,
