ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",719741,0.0028,0.3596,0.6252,0.0152,559572,0.7159,0.2841,0.0636,0.1634,0.0232,0.0365,0.0017,
"2",715357,-0.0033,0.2431,0.7487,0.0082,558256,0.8111,0.1889,0.0496,0.0968,0.0094,0.0316,0.001,
"3",719093,0.0019,0.2844,0.7054,0.0103,558198,0.7504,0.2496,0.0395,0.1704,0.0151,0.0231,0.0011,
"4",719102,0.0019,0.2817,0.7098,0.0085,559533,0.7363,0.2637,0.038,0.1777,0.0177,0.0282,0.0015,
"5",716971,-0.0011,0.5622,0.4261,0.0117,560426,0.5245,0.4755,0.0423,0.3951,0.0223,0.0173,0.001,
"6",719456,0.0024,0.527,0.4656,0.0075,561296,0.5261,0.4739,0.0291,0.41,0.0149,0.0216,0.0011,
"7",714559,-0.0045,0.5025,0.4887,0.0088,559885,0.5199,0.4801,0.036,0.3981,0.0312,0.017,0.0013,
"",717754,0.0072,0.3962,0.5938,0.0101,559595,0.6547,0.3453,0.0426,0.259,0.0191,0.025,0.0012,
