ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",799167,0.002,0.3208,0.6501,0.0291,605558,0.8764,0.1236,0.0667,0.0201,0.0151,0.017,0.0026,
"2",798473,0.0011,0.3602,0.6093,0.0305,615036,0.9248,0.0752,0.0326,0.0135,0.01,0.0131,0.0019,
"3",794301,-0.0041,0.5334,0.4319,0.0346,609798,0.7829,0.2171,0.0736,0.0691,0.0537,0.0173,0.0041,
"4",798428,0.001,0.53,0.4353,0.0348,619711,0.8339,0.1661,0.0465,0.067,0.0321,0.0158,0.0022,
"",797592,0.0061,0.4353,0.5324,0.0322,612526,0.8546,0.1454,0.0547,0.0425,0.0277,0.0158,0.0027,
