ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",818231,0.0004,0.2607,0.6915,0.0478,571290,0.8101,0.1899,0.1187,0.0169,0.0287,0.0213,0.0091,
"2",816661,-0.0015,0.2727,0.6791,0.0483,574296,0.7325,0.2675,0.1733,0.015,0.0303,0.0352,0.02,
"3",817595,-0.0004,0.2125,0.7428,0.0447,554699,0.8104,0.1896,0.118,0.0107,0.0273,0.0229,0.0145,
"4",819129,0.0015,0.4844,0.4778,0.0378,623766,0.7455,0.2545,0.1344,0.0251,0.0599,0.0219,0.0156,
"",817904,0.003,0.3148,0.6408,0.0443,581013,0.7736,0.2264,0.1362,0.0172,0.0371,0.0253,0.0148,
