ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",894481,-0.0027,0.3215,0.6463,0.0322,716337,0.8967,0.1033,0.0218,0.0417,0.0132,0.0201,0.0009,
"2",899235,0.0027,0.3299,0.6479,0.0221,716595,0.9081,0.0919,0.011,0.0462,0.0095,0.0204,0.0007,
"",896858,0.0053,0.3257,0.6471,0.0272,716466,0.9024,0.0976,0.0164,0.0439,0.0113,0.0203,0.0008,
