ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",550629,0.0035,0.6665,0.3153,0.0182,436514,0.5671,0.4329,0.243,0.1299,0.0539,0.0224,0.0024,
"2",546750,-0.0035,0.5654,0.4137,0.0208,451080,0.8754,0.1246,0.0441,0.0303,0.0298,0.0153,0.0014,
"",548690,0.0071,0.6067,0.3736,0.0198,443797,0.7238,0.2762,0.1419,0.0793,0.0416,0.0188,0.0019,
