ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",730207,-0.0014,0.5355,0.4496,0.0149,588719,0.5978,0.4022,0.0686,0.2996,0.0188,0.0164,0.0016,
"2",730145,-0.0014,0.3273,0.6549,0.0178,568193,0.7222,0.2778,0.0511,0.1857,0.019,0.0225,0.0014,
"3",735545,0.0059,0.3392,0.641,0.0199,576888,0.7293,0.2707,0.0791,0.1429,0.0271,0.0214,0.0013,
"4",731018,-0.0003,0.3393,0.6445,0.0162,562348,0.6968,0.3032,0.0605,0.2008,0.0211,0.0216,0.001,
"5",731213,0,0.5503,0.4342,0.0155,564660,0.5192,0.4808,0.0539,0.3868,0.028,0.0174,0.0018,
"6",730219,-0.0013,0.5198,0.4689,0.0114,577543,0.5276,0.4724,0.0337,0.405,0.0175,0.0185,0.0014,
"7",730078,-0.0015,0.3606,0.6235,0.0159,576109,0.7484,0.2516,0.0559,0.1477,0.0236,0.0213,0.0018,
"",731204,0.0075,0.426,0.5581,0.0159,573494,0.6486,0.3514,0.0576,0.2528,0.0221,0.0199,0.0015,
