ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,NaN,0,0,0,0,0,0,0,0,0,0,0,
"1",752000,Infinity,0.4865,0.4922,0.0213,586237,0.8044,0.1956,0.0508,0.0952,0.0284,0.0196,0.0024,
"2",749290,Infinity,0.4883,0.4916,0.0201,572907,0.7109,0.2891,0.0545,0.1839,0.0283,0.0214,0.0029,
"3",752986,Infinity,0.4873,0.4928,0.02,587378,0.7854,0.2146,0.0532,0.1069,0.0341,0.0187,0.0012,
"4",752599,Infinity,0.3389,0.6405,0.0207,577407,0.9042,0.0958,0.0252,0.0336,0.0131,0.0192,0.0014,
"5",750038,Infinity,0.2597,0.7245,0.0158,582104,0.9304,0.0696,0.0168,0.0251,0.006,0.0191,0.0007,
"6",748923,Infinity,0.3024,0.6813,0.0163,577867,0.8682,0.1318,0.0286,0.0714,0.0081,0.0206,0.0013,
"",0,Infinity,0.3967,0.5842,0.0191,580650,0.834,0.166,0.0382,0.0859,0.0197,0.0198,0.0017,
