ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",721121,-0.0001,0.6425,0.3311,0.0264,569036,0.5613,0.4387,0.1875,0.1805,0.0697,0.0147,0.0016,
"2",722659,0.002,0.4729,0.5021,0.025,583708,0.8184,0.1816,0.082,0.045,0.0334,0.017,0.0013,
"3",723598,0.0033,0.6504,0.3273,0.0223,579858,0.5759,0.4241,0.1861,0.1782,0.0565,0.0197,0.0023,
"4",720027,-0.0016,0.6422,0.3414,0.0164,559328,0.5328,0.4672,0.2355,0.1532,0.063,0.014,0.0015,
"5",718539,-0.0037,0.4782,0.4977,0.0241,577297,0.8396,0.1604,0.0633,0.0367,0.0409,0.0124,0.0009,
"",721189,0.007,0.5674,0.4095,0.0231,573845,0.667,0.333,0.1501,0.1182,0.0525,0.0156,0.0015,
