ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",652423,-0.0022,0.2138,0.7673,0.0189,493153,0.8354,0.1646,0.1144,0.0161,0.0106,0.0234,0.0016,
"2",656633,0.0043,0.3936,0.5797,0.0267,496403,0.8457,0.1543,0.061,0.0317,0.0343,0.0244,0.0014,
"3",652448,-0.0021,0.4966,0.4735,0.0299,486571,0.6936,0.3064,0.1205,0.1129,0.0515,0.0246,0.0023,
"",653835,0.0064,0.366,0.6089,0.0251,492042,0.7921,0.2079,0.0984,0.0533,0.0321,0.0242,0.0018,
