ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",798416,0.001,0.4835,0.4837,0.0328,601897,0.8198,0.1802,0.0656,0.0531,0.0419,0.0156,0.0015,
"2",795006,-0.0032,0.2992,0.6721,0.0288,605065,0.885,0.115,0.0626,0.0173,0.0135,0.0167,0.0026,
"3",797528,-0.0001,0.4755,0.4893,0.0353,622090,0.8506,0.1494,0.0448,0.0531,0.0294,0.0168,0.0046,
"4",799419,0.0023,0.4802,0.4877,0.0321,621051,0.8626,0.1374,0.0464,0.0462,0.0263,0.0141,0.0021,
"",797592,0.0055,0.4353,0.5324,0.0322,612526,0.8546,0.1454,0.0547,0.0425,0.0277,0.0158,0.0027,
