ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",788105,-0.0048,0.4651,0.4899,0.045,593821,0.5487,0.4513,0.1667,0.1692,0.0484,0.0803,0.0028,
"2",792008,0.0002,0.4753,0.4775,0.0472,612544,0.5794,0.4206,0.1289,0.1435,0.0457,0.1144,0.0037,
"3",791624,-0.0003,0.2673,0.6971,0.0356,599490,0.7156,0.2844,0.0523,0.0442,0.0254,0.1652,0.0015,
"4",793902,0.0026,0.2135,0.7538,0.0327,596444,0.7507,0.2493,0.0955,0.0397,0.0142,0.0996,0.005,
"5",793714,0.0023,0.248,0.7195,0.0324,608399,0.668,0.332,0.0482,0.0333,0.0113,0.2415,0.0019,
"",791869,0.0073,0.325,0.6369,0.0381,602140,0.6523,0.3477,0.0982,0.086,0.029,0.1406,0.003,
