ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",729515,-0.0023,0.4891,0.4932,0.0177,562948,0.5611,0.4389,0.0889,0.3115,0.0224,0.0202,0.0014,
"2",728536,-0.0036,0.4924,0.4959,0.0116,568717,0.5436,0.4564,0.0345,0.3922,0.014,0.0188,0.0013,
"3",732220,0.0014,0.489,0.492,0.0191,572822,0.6497,0.3503,0.0658,0.2344,0.0294,0.0194,0.0022,
"4",732932,0.0024,0.2888,0.6925,0.0187,562372,0.7901,0.2099,0.0561,0.1003,0.0301,0.0212,0.0011,
"5",733215,0.0028,0.2561,0.726,0.0178,575492,0.8057,0.1943,0.0456,0.1053,0.0193,0.0228,0.001,
"6",730752,-0.0006,0.4921,0.4941,0.0137,580876,0.5741,0.4259,0.0623,0.3309,0.0162,0.019,0.0015,
"7",731255,0.0001,0.4911,0.4958,0.0131,591233,0.6179,0.3821,0.0504,0.2922,0.0236,0.0176,0.0017,
"",731204,0.0064,0.426,0.5581,0.0159,573494,0.6486,0.3514,0.0576,0.2528,0.0221,0.0199,0.0015,
