ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0.2761,0.7163,0.0076,0,0,0,0,0,0,0,0,
"1",720522,0.0039,0.2268,0.7646,0.0086,560313,0.7875,0.2125,0.0365,0.1252,0.0171,0.0309,0.0015,
"2",716128,-0.0023,0.488,0.5043,0.0077,558797,0.5587,0.4413,0.0261,0.3791,0.0138,0.0229,0.0011,
"3",717520,-0.0003,0.4879,0.503,0.009,560897,0.5308,0.4692,0.0364,0.3861,0.0315,0.0173,0.0014,
"4",719221,0.002,0.1653,0.8269,0.0078,563089,0.8903,0.1097,0.0346,0.0297,0.0066,0.0358,0.0008,
"5",717717,-0.0001,0.4412,0.5428,0.016,555987,0.6438,0.3562,0.0777,0.2239,0.026,0.0326,0.0019,
"6",717465,-0.0004,0.4829,0.5023,0.0148,556709,0.6119,0.3881,0.0507,0.2903,0.0286,0.019,0.0012,
"7",715706,-0.0029,0.4912,0.5024,0.0064,561374,0.5584,0.4416,0.0366,0.3795,0.0103,0.0167,0.0009,
"",717754,0.0067,0.3962,0.5938,0.0101,559595,0.6547,0.3453,0.0426,0.259,0.0191,0.025,0.0012,
