ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,
"1",814873,-0.0037,0.4324,0.5303,0.0373,599990,0.7835,0.2165,0.1092,0.0188,0.0496,0.0271,0.0121,
"2",820927,0.0037,0.2022,0.7521,0.0457,569701,0.8623,0.1377,0.0815,0.0093,0.02,0.02,0.0084,
"3",820971,0.0037,0.18,0.7747,0.0452,556390,0.8135,0.1865,0.1152,0.0106,0.0259,0.0238,0.0149,
"4",814845,-0.0037,0.4585,0.49,0.0515,597970,0.6422,0.3578,0.2351,0.029,0.0513,0.0299,0.0236,
"",817904,0.0075,0.3148,0.6408,0.0443,581013,0.7736,0.2264,0.1362,0.0172,0.0371,0.0253,0.0148,
