ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",686185,-0.0037,0.4662,0.504,0.0298,557014,0.8661,0.1339,0.0477,0.0244,0.0352,0.0181,0.0012,
"2",691344,0.0037,0.4388,0.5341,0.0271,563666,0.9107,0.0893,0.0235,0.0145,0.0252,0.0163,0.001,
"",688765,0.0075,0.4519,0.5197,0.0284,560340,0.8885,0.1115,0.0355,0.0194,0.0302,0.0172,0.0011,
