ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",681424,0.0004,0.4986,0.4442,0.0572,556229,0.9085,0.0915,0.0177,0.0232,0.0204,0.0212,0.0011,
"2",680935,-0.0004,0.4538,0.4878,0.0583,553856,0.9247,0.0753,0.0141,0.0164,0.012,0.0234,0.001,
"",681180,0.0007,0.4766,0.4657,0.0578,555043,0.9166,0.0834,0.0159,0.0198,0.0162,0.0223,0.001,
