ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",916120,-0.0037,0.4592,0.496,0.0448,692628,0.7768,0.2232,0.13,0.0171,0.032,0.0377,0.0051,
"2",922986,0.0037,0.2209,0.7357,0.0434,683772,0.8532,0.1468,0.0902,0.0062,0.015,0.0284,0.0032,
"",919553,0.0075,0.3238,0.6322,0.044,688200,0.8148,0.1852,0.1102,0.0117,0.0235,0.0331,0.0042,
