ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",704736,-0.0016,0.6399,0.3255,0.0346,551156,0.3847,0.6153,0.4937,0.0266,0.0245,0.0901,0.0027,
"2",703803,-0.0029,0.4863,0.4768,0.0369,548301,0.468,0.532,0.4181,0.0381,0.0348,0.0558,0.0027,
"3",708983,0.0045,0.4802,0.4837,0.0361,539532,0.3622,0.6378,0.4178,0.0201,0.0161,0.2006,0.0023,
"",705841,0.0073,0.5403,0.4239,0.0358,546330,0.4052,0.5948,0.4434,0.0283,0.0252,0.115,0.0026,
