ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",752000,0.0014,0.4865,0.4922,0.0213,0,0,0,0,0,0,0,0,
"2",749290,-0.0022,0.4883,0.4916,0.0201,0,0,0,0,0,0,0,0,
"3",752986,0.0027,0.4873,0.4928,0.02,0,0,0,0,0,0,0,0,
"4",752599,0.0022,0.3389,0.6405,0.0207,0,0,0,0,0,0,0,0,
"5",750038,-0.0012,0.2597,0.7245,0.0158,0,0,0,0,0,0,0,0,
"6",748923,-0.0027,0.3024,0.6813,0.0163,0,0,0,0,0,0,0,0,
"",750973,0.0054,0.3967,0.5842,0.0191,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
