ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",652471,-0.0021,0.4753,0.4964,0.0283,484084,0.7223,0.2777,0.107,0.0992,0.051,0.0224,0.002,
"2",652233,-0.0024,0.4458,0.5237,0.0304,491995,0.7517,0.2483,0.1298,0.0529,0.0376,0.0293,0.002,
"3",656800,0.0045,0.2059,0.7761,0.018,500048,0.8994,0.1006,0.0592,0.0092,0.0083,0.0208,0.0013,
"",653835,0.007,0.366,0.6089,0.0251,492042,0.7921,0.2079,0.0984,0.0533,0.0321,0.0242,0.0018,
