	stcd2	cycle	stateabrev	stcd	dem_share	dem_share_imputed	dpres	incumb	winner_dem	uncontested	votes_dem	votes_rep	votes_dem_est	votes_rep_est	chamber	code	district	year	plan	winner	winner_plan
1	1970s_201	1972	AK	201	0.562	0.562	37.33	1	0	0	53,651	41,750	53,651	41,750	us_house	AK1972	1	1972		R	#N/A
2	1970s_101	1972	AL	101	0.189	0.189	24.27	-1	0	0	24,357	104,606	24,357	104,606	us_house	AL1972	1	1972	AL1	R	R
3	1970s_102	1972	AL	102	0.431	0.431	22.46	-1	0	0	60,769	80,362	60,769	80,362	us_house	AL1972	2	1972	AL1	R	R
4	1970s_103	1972	AL	103	0.786	0.786	25.34	1	1	0	100,045	27,253	100,045	27,253	us_house	AL1972	3	1972	AL1	D	D
5	1970s_104	1972	AL	104	0.699	0.699	22.42	1	1	0	108,039	46,551	108,039	46,551	us_house	AL1972	4	1972	AL1	D	D
6	1970s_105	1972	AL	105	0.752	0.752	25.44	1	1	0	101,303	33,352	101,303	33,352	us_house	AL1972	5	1972	AL1	D	D
7	1970s_106	1972	AL	106	0.373	0.373	27.80	-1	0	0	54,497	91,499	54,497	91,499	us_house	AL1972	6	1972	AL1	R	R
8	1970s_107	1972	AL	107	1.000	0.650	33.96	1	1	1	95,060	0	62,616	33,645	us_house	AL1972	7	1972	AL1	D	D
9	1970s_401	1972	AR	401		0.671	31.42	1	1	1	0	0	114,085	55,894	us_house	AR1972	1	1972		D	#N/A
10	1970s_402	1972	AR	402		0.630	35.93	1	1	1	0	0	120,916	71,133	us_house	AR1972	2	1972		D	#N/A
11	1970s_403	1972	AR	403	0.227	0.227	25.70	-1	0	0	42,481	144,571	42,481	144,571	us_house	AR1972	3	1972		R	#N/A
12	1970s_404	1972	AR	404		0.515	31.36	0	1	1	0	0	76,808	72,408	us_house	AR1972	4	1972		D	#N/A
13	1970s_301	1972	AZ	301	0.427	0.427	32.12	-1	0	0	59,900	80,453	59,900	80,453	us_house	AZ1972	1	1972		R	#N/A
14	1970s_302	1972	AZ	302	0.635	0.635	42.54	1	1	0	97,616	56,188	97,616	56,188	us_house	AZ1972	2	1972		D	#N/A
15	1970s_303	1972	AZ	303	0.370	0.370	28.24	-1	0	0	53,220	90,710	53,220	90,710	us_house	AZ1972	3	1972		R	#N/A
16	1970s_304	1972	AZ	304	0.470	0.470	28.84	0	0	0	73,309	82,511	73,309	82,511	us_house	AZ1972	4	1972		R	#N/A
17	1970s_501	1972	CA	501	0.355	0.355	43.57	-1	0	0	77,610	141,226	77,610	141,226	us_house	CA1972	1	1972	CA1	R	R
18	1970s_502	1972	CA	502	0.705	0.705	44.83	1	1	0	149,590	62,727	149,590	62,727	us_house	CA1972	2	1972	CA1	D	D
19	1970s_503	1972	CA	503	0.699	0.699	50.78	1	1	0	151,706	65,298	151,706	65,298	us_house	CA1972	3	1972	CA1	D	D
20	1970s_504	1972	CA	504	0.674	0.674	45.92	1	1	0	115,038	55,540	115,038	55,540	us_house	CA1972	4	1972	CA1	D	D
21	1970s_505	1972	CA	505	0.819	0.819	64.04	1	1	0	124,164	27,474	124,164	27,474	us_house	CA1972	5	1972	CA1	D	D
22	1970s_506	1972	CA	506	0.479	0.479	47.72	-1	0	0	110,144	119,704	110,144	119,704	us_house	CA1972	6	1972	CA1	R	R
23	1970s_507	1972	CA	507	0.594	0.594	64.81	1	1	0	126,913	86,587	126,913	86,587	us_house	CA1972	7	1972	CA1	D	D
24	1970s_508	1972	CA	508	0.529	0.529	47.75	0	1	0	102,153	90,970	102,153	90,970	us_house	CA1972	8	1972	CA1	D	D
25	1970s_509	1972	CA	509	0.742	0.742	52.38	1	1	0	123,994	43,140	123,994	43,140	us_house	CA1972	9	1972	CA1	D	D
26	1970s_510	1972	CA	510	0.354	0.354	39.50	-1	0	0	76,839	140,342	76,839	140,342	us_house	CA1972	10	1972	CA1	R	R
27	1970s_511	1972	CA	511	0.621	0.621	46.52	0	1	0	114,134	69,632	114,134	69,632	us_house	CA1972	11	1972	CA1	D	D
28	1970s_512	1972	CA	512	0.444	0.444	43.93	-1	0	0	84,174	105,556	84,174	105,556	us_house	CA1972	12	1972	CA1	R	R
29	1970s_513	1972	CA	513	0.261	0.261	35.74	-1	0	0	54,451	153,877	54,451	153,877	us_house	CA1972	13	1972	CA1	R	R
30	1970s_514	1972	CA	514	0.776	0.776	45.22	1	1	0	159,335	46,082	159,335	46,082	us_house	CA1972	14	1972	CA1	D	D
31	1970s_515	1972	CA	515		0.640	44.49	1	1	1	0	0	103,399	58,047	us_house	CA1972	15	1972	CA1	D	D
32	1970s_516	1972	CA	516	0.791	0.791	47.65	1	1	0	134,132	35,385	134,132	35,385	us_house	CA1972	16	1972	CA1	D	D
33	1970s_517	1972	CA	517	0.359	0.359	47.84	-1	0	0	73,123	130,365	73,123	130,365	us_house	CA1972	17	1972	CA1	R	R
34	1970s_518	1972	CA	518	0.336	0.336	39.53	-1	0	0	55,829	110,153	55,829	110,153	us_house	CA1972	18	1972	CA1	R	R
35	1970s_519	1972	CA	519	0.707	0.707	41.01	1	1	0	105,699	43,792	105,699	43,792	us_house	CA1972	19	1972	CA1	D	D
36	1970s_520	1972	CA	520	0.426	0.426	32.15	0	0	0	90,842	122,309	90,842	122,309	us_house	CA1972	20	1972	CA1	R	R
37	1970s_521	1972	CA	521	0.829	0.829	74.35	1	1	0	95,050	19,569	95,050	19,569	us_house	CA1972	21	1972	CA1	D	D
38	1970s_522	1972	CA	522	0.698	0.698	43.84	1	1	0	123,863	53,603	123,863	53,603	us_house	CA1972	22	1972	CA1	D	D
39	1970s_523	1972	CA	523	0.386	0.386	29.78	-1	0	0	75,546	120,313	75,546	120,313	us_house	CA1972	23	1972	CA1	R	R
40	1970s_524	1972	CA	524	0.299	0.299	27.19	-1	0	0	61,326	144,057	61,326	144,057	us_house	CA1972	24	1972	CA1	R	R
41	1970s_525	1972	CA	525	0.330	0.330	29.61	-1	0	0	58,323	118,631	58,323	118,631	us_house	CA1972	25	1972	CA1	R	R
42	1970s_526	1972	CA	526	0.711	0.711	54.85	1	1	0	164,351	66,731	164,351	66,731	us_house	CA1972	26	1972	CA1	D	D
43	1970s_527	1972	CA	527	0.426	0.426	36.40	-1	0	0	88,548	119,475	88,548	119,475	us_house	CA1972	27	1972	CA1	R	R
44	1970s_528	1972	CA	528	0.382	0.382	43.86	-1	0	0	89,520	144,815	89,520	144,815	us_house	CA1972	28	1972	CA1	R	R
45	1970s_529	1972	CA	529	0.652	0.652	45.61	1	1	0	92,856	49,590	92,856	49,590	us_house	CA1972	29	1972	CA1	D	D
46	1970s_530	1972	CA	530	0.705	0.705	52.05	1	1	0	78,193	32,717	78,193	32,717	us_house	CA1972	30	1972	CA1	D	D
47	1970s_531	1972	CA	531	0.552	0.552	42.69	1	1	0	87,975	71,395	87,975	71,395	us_house	CA1972	31	1972	CA1	D	D
48	1970s_532	1972	CA	532	0.326	0.326	33.03	-1	0	0	72,481	149,514	72,481	149,514	us_house	CA1972	32	1972	CA1	R	R
49	1970s_533	1972	CA	533	0.250	0.250	32.57	-1	0	0	46,911	140,868	46,911	140,868	us_house	CA1972	33	1972	CA1	R	R
50	1970s_534	1972	CA	534	0.699	0.699	33.82	1	1	0	115,880	49,971	115,880	49,971	us_house	CA1972	34	1972	CA1	D	D
51	1970s_535	1972	CA	535	0.748	0.748	46.17	1	1	0	105,667	35,614	105,667	35,614	us_house	CA1972	35	1972	CA1	D	D
52	1970s_536	1972	CA	536	0.452	0.452	40.58	0	0	0	72,623	88,071	72,623	88,071	us_house	CA1972	36	1972	CA1	R	R
53	1970s_537	1972	CA	537	0.748	0.748	63.64	0	1	0	123,468	41,562	123,468	41,562	us_house	CA1972	37	1972	CA1	D	D
54	1970s_538	1972	CA	538	0.563	0.563	47.61	0	1	0	77,922	60,459	77,922	60,459	us_house	CA1972	38	1972	CA1	D	D
55	1970s_539	1972	CA	539	0.343	0.343	25.44	0	0	0	77,817	149,081	77,817	149,081	us_house	CA1972	39	1972	CA1	R	R
56	1970s_540	1972	CA	540	0.309	0.309	35.90	-1	0	0	69,377	155,269	69,377	155,269	us_house	CA1972	40	1972	CA1	R	R
57	1970s_541	1972	CA	541	0.740	0.740	43.31	1	1	0	116,980	40,997	116,980	40,997	us_house	CA1972	41	1972	CA1	D	D
58	1970s_542	1972	CA	542	0.301	0.301	29.75	0	0	0	68,381	158,475	68,381	158,475	us_house	CA1972	42	1972	CA1	R	R
59	1970s_543	1972	CA	543	0.373	0.373	36.14	-1	0	0	70,455	118,536	70,455	118,536	us_house	CA1972	43	1972	CA1	R	R
60	1970s_601	1972	CO	601	0.521	0.521	44.70	-1	1	0	101,832	93,733	101,832	93,733	us_house	CO1972	1	1972		D	#N/A
61	1970s_602	1972	CO	602	0.335	0.335	35.05	-1	0	0	66,817	132,562	66,817	132,562	us_house	CO1972	2	1972		R	#N/A
62	1970s_603	1972	CO	603	0.663	0.663	35.78	1	1	0	107,511	54,556	107,511	54,556	us_house	CO1972	3	1972		D	#N/A
63	1970s_604	1972	CO	604	0.490	0.490	32.83	0	0	0	91,151	94,994	91,151	94,994	us_house	CO1972	4	1972		R	#N/A
64	1970s_605	1972	CO	605	0.369	0.369	29.38	0	0	0	60,948	104,214	60,948	104,214	us_house	CO1972	5	1972		R	#N/A
65	1970s_701	1972	CT	701	0.576	0.576	48.57	1	1	0	130,701	96,188	130,701	96,188	us_house	CT1972	1	1972		D	#N/A
66	1970s_702	1972	CT	702	0.341	0.341	40.03	-1	0	0	73,400	142,094	73,400	142,094	us_house	CT1972	2	1972		R	#N/A
67	1970s_703	1972	CT	703	0.533	0.533	38.10	1	1	0	121,217	106,313	121,217	106,313	us_house	CT1972	3	1972		D	#N/A
68	1970s_704	1972	CT	704	0.369	0.369	37.13	-1	0	0	79,515	135,883	79,515	135,883	us_house	CT1972	4	1972		R	#N/A
69	1970s_705	1972	CT	705	0.488	0.488	37.84	1	0	0	112,142	117,578	112,142	117,578	us_house	CT1972	5	1972		R	#N/A
70	1970s_706	1972	CT	706	0.602	0.602	41.88	1	1	0	140,290	92,783	140,290	92,783	us_house	CT1972	6	1972		D	#N/A
71	1970s_801	1972	DE	801	0.371	0.371	39.67	-1	0	0	83,230	141,237	83,230	141,237	us_house	DE1972	1	1972		R	#N/A
72	1970s_901	1972	FL	901		0.544	16.31	1	1	1	0	0	91,751	76,786	us_house	FL1972	1	1972	FL1	D	D
73	1970s_902	1972	FL	902		0.636	31.41	1	1	1	0	0	115,192	66,037	us_house	FL1972	2	1972	FL1	D	D
74	1970s_903	1972	FL	903	0.820	0.820	30.20	1	1	0	101,441	22,219	101,441	22,219	us_house	FL1972	3	1972	FL1	D	D
75	1970s_904	1972	FL	904	0.559	0.559	23.46	1	1	0	92,541	72,960	92,541	72,960	us_house	FL1972	4	1972	FL1	D	D
76	1970s_905	1972	FL	905	0.445	0.445	21.60	0	1	0	78,463	97,902	78,463	97,902	us_house	FL1972	5	1972	FL1	D	X
77	1970s_906	1972	FL	906	0.240	0.240	30.59	-1	0	0	49,399	156,150	49,399	156,150	us_house	FL1972	6	1972	FL1	R	R
78	1970s_907	1972	FL	907	0.680	0.680	30.29	1	1	0	91,931	43,343	91,931	43,343	us_house	FL1972	7	1972	FL1	D	D
79	1970s_908	1972	FL	908	0.578	0.578	20.59	1	1	0	89,068	64,920	89,068	64,920	us_house	FL1972	8	1972	FL1	D	D
80	1970s_909	1972	FL	909		0.323	22.60	-1	0	1	0	0	54,553	114,324	us_house	FL1972	9	1972	FL1	R	X
81	1970s_910	1972	FL	910	0.380	0.380	20.82	0	0	0	69,502	113,461	69,502	113,461	us_house	FL1972	10	1972	FL1	R	R
82	1970s_911	1972	FL	911	0.602	0.602	25.78	1	1	0	116,157	76,739	116,157	76,739	us_house	FL1972	11	1972	FL1	D	D
83	1970s_912	1972	FL	912	0.372	0.372	28.40	-1	0	0	65,526	110,750	65,526	110,750	us_house	FL1972	12	1972	FL1	R	X
84	1970s_913	1972	FL	913	0.616	0.616	44.50	0	1	0	92,258	57,418	92,258	57,418	us_house	FL1972	13	1972	FL1	D	D
85	1970s_914	1972	FL	914	0.676	0.676	41.89	1	1	0	75,131	35,935	75,131	35,935	us_house	FL1972	14	1972	FL1	D	D
86	1970s_915	1972	FL	915	0.568	0.568	36.58	1	1	0	89,961	68,320	89,961	68,320	us_house	FL1972	15	1972	FL1	D	D
87	1970s_1001	1972	GA	1001	1.000	0.591	24.81	0	1	1	55,256	0	35,019	24,281	us_house	GA1972	1	1972	GA1	D	D
88	1970s_1002	1972	GA	1002	1.000	0.578	20.44	1	1	1	65,997	0	39,558	28,896	us_house	GA1972	2	1972	GA1	D	D
89	1970s_1003	1972	GA	1003	1.000	0.615	22.45	1	1	1	71,756	0	45,606	28,548	us_house	GA1972	3	1972	GA1	D	D
90	1970s_1004	1972	GA	1004	0.241	0.241	23.01	-1	0	0	32,731	103,155	32,731	103,155	us_house	GA1972	4	1972	GA1	R	X
91	1970s_1005	1972	GA	1005	0.528	0.528	47.86	0	1	0	72,289	64,495	72,289	64,495	us_house	GA1972	5	1972	GA1	D	D
92	1970s_1006	1972	GA	1006	1.000	0.562	20.44	1	1	1	70,586	0	41,848	32,673	us_house	GA1972	6	1972	GA1	D	X
93	1970s_1007	1972	GA	1007	0.583	0.583	16.99	1	1	0	59,031	42,265	59,031	42,265	us_house	GA1972	7	1972	GA1	D	D
94	1970s_1008	1972	GA	1008	0.624	0.624	22.18	1	1	0	71,283	42,986	71,283	42,986	us_house	GA1972	8	1972	GA1	D	D
95	1970s_1009	1972	GA	1009	1.000	0.570	17.96	1	1	1	71,801	0	43,304	32,620	us_house	GA1972	9	1972	GA1	D	D
96	1970s_1010	1972	GA	1010	1.000	0.611	26.98	1	1	1	68,096	0	43,010	27,367	us_house	GA1972	10	1972	GA1	D	D
97	1970s_1101	1972	HI	1101	0.547	0.547	37.67	1	1	0	73,826	61,138	73,826	61,138	us_house	HI1972	1	1972		D	#N/A
98	1970s_1102	1972	HI	1102	0.571	0.571	37.38	1	1	0	79,856	60,043	79,856	60,043	us_house	HI1972	2	1972		D	#N/A
99	1970s_1501	1972	IA	1501	0.539	0.539	43.94	-1	1	0	107,099	91,609	107,099	91,609	us_house	IA1972	1	1972		D	#N/A
100	1970s_1502	1972	IA	1502	0.592	0.592	44.42	1	1	0	115,489	79,667	115,489	79,667	us_house	IA1972	2	1972		D	#N/A
101	1970s_1503	1972	IA	1503	0.443	0.443	39.73	-1	0	0	86,848	109,113	86,848	109,113	us_house	IA1972	3	1972		R	#N/A
102	1970s_1504	1972	IA	1504	0.596	0.596	44.16	0	1	0	125,431	85,156	125,431	85,156	us_house	IA1972	4	1972		D	#N/A
103	1970s_1505	1972	IA	1505	0.447	0.447	37.21	-1	0	0	87,937	108,596	87,937	108,596	us_house	IA1972	5	1972		R	#N/A
104	1970s_1506	1972	IA	1506	0.475	0.475	38.08	-1	0	0	93,574	103,284	93,574	103,284	us_house	IA1972	6	1972		R	#N/A
105	1970s_1201	1972	ID	1201	0.444	0.444	31.38	0	0	0	68,106	85,270	68,106	85,270	us_house	ID1972	1	1972		R	#N/A
106	1970s_1202	1972	ID	1202	0.281	0.281	26.15	-1	0	0	40,081	102,537	40,081	102,537	us_house	ID1972	2	1972		R	#N/A
107	1970s_1301	1972	IL	1301	0.914	0.914	89.51	1	1	0	136,755	12,877	136,755	12,877	us_house	IL1972	1	1972	IL1	D	D
108	1970s_1302	1972	IL	1302	0.750	0.750	65.93	1	1	0	115,306	38,391	115,306	38,391	us_house	IL1972	2	1972	IL1	D	D
109	1970s_1303	1972	IL	1303	0.377	0.377	29.61	0	0	0	77,814	128,329	77,814	128,329	us_house	IL1972	3	1972	IL1	R	X
110	1970s_1304	1972	IL	1304	0.295	0.295	28.58	-1	0	0	59,057	141,402	59,057	141,402	us_house	IL1972	4	1972	IL1	R	R
111	1970s_1305	1972	IL	1305	0.728	0.728	52.56	1	1	0	121,278	45,264	121,278	45,264	us_house	IL1972	5	1972	IL1	D	D
112	1970s_1306	1972	IL	1306	0.388	0.388	31.16	-1	0	0	79,002	124,486	79,002	124,486	us_house	IL1972	6	1972	IL1	R	R
113	1970s_1307	1972	IL	1307	0.828	0.828	73.72	1	1	0	95,018	19,758	95,018	19,758	us_house	IL1972	7	1972	IL1	D	D
114	1970s_1308	1972	IL	1308	0.740	0.740	55.81	1	1	0	110,457	38,758	110,457	38,758	us_house	IL1972	8	1972	IL1	D	D
115	1970s_1309	1972	IL	1309	0.683	0.683	54.40	1	1	0	131,777	61,083	131,777	61,083	us_house	IL1972	9	1972	IL1	D	D
116	1970s_1310	1972	IL	1310	0.484	0.484	37.83	0	0	0	113,222	120,681	113,222	120,681	us_house	IL1972	10	1972	IL1	R	X
117	1970s_1311	1972	IL	1311	0.533	0.533	37.34	1	1	0	118,637	103,773	118,637	103,773	us_house	IL1972	11	1972	IL1	D	D
118	1970s_1312	1972	IL	1312	0.258	0.258	26.90	-1	0	0	53,055	152,938	53,055	152,938	us_house	IL1972	12	1972	IL1	R	R
119	1970s_1313	1972	IL	1313	0.385	0.385	30.36	-1	0	0	61,537	98,201	61,537	98,201	us_house	IL1972	13	1972	IL1	R	R
120	1970s_1314	1972	IL	1314	0.272	0.272	24.68	-1	0	0	57,874	154,794	57,874	154,794	us_house	IL1972	14	1972	IL1	R	R
121	1970s_1315	1972	IL	1315	0.428	0.428	33.92	-1	0	0	82,925	111,022	82,925	111,022	us_house	IL1972	15	1972	IL1	R	X
122	1970s_1316	1972	IL	1316	0.281	0.281	34.11	-1	0	0	50,649	129,640	50,649	129,640	us_house	IL1972	16	1972	IL1	R	R
123	1970s_1317	1972	IL	1317	0.444	0.444	33.68	0	0	0	79,840	100,175	79,840	100,175	us_house	IL1972	17	1972	IL1	R	R
124	1970s_1318	1972	IL	1318	0.352	0.352	34.40	-1	0	0	67,514	124,407	67,514	124,407	us_house	IL1972	18	1972	IL1	R	R
125	1970s_1319	1972	IL	1319		0.371	38.26	-1	0	1	0	0	62,252	105,686	us_house	IL1972	19	1972	IL1	R	R
126	1970s_1320	1972	IL	1320	0.312	0.312	36.29	-1	0	0	67,445	148,419	67,445	148,419	us_house	IL1972	20	1972	IL1	R	R
127	1970s_1321	1972	IL	1321	0.452	0.452	37.51	0	0	0	82,523	99,966	82,523	99,966	us_house	IL1972	21	1972	IL1	R	R
128	1970s_1322	1972	IL	1322	0.580	0.580	36.30	1	1	0	124,589	90,390	124,589	90,390	us_house	IL1972	22	1972	IL1	D	X
129	1970s_1323	1972	IL	1323	0.751	0.751	46.76	1	1	0	121,682	40,428	121,682	40,428	us_house	IL1972	23	1972	IL1	D	D
130	1970s_1324	1972	IL	1324	1.000	0.636	40.16	1	1	1	138,867	0	90,033	51,600	us_house	IL1972	24	1972	IL1	D	D
131	1970s_1401	1972	IN	1401	0.569	0.569	47.39	1	1	0	95,873	72,662	95,873	72,662	us_house	IN1972	1	1972	IN1	D	D
132	1970s_1402	1972	IN	1402	0.453	0.453	26.39	-1	0	0	91,533	110,406	91,533	110,406	us_house	IN1972	2	1972	IN1	R	X
133	1970s_1403	1972	IN	1403	0.561	0.561	35.74	1	1	0	103,949	81,369	103,949	81,369	us_house	IN1972	3	1972	IN1	D	X
134	1970s_1404	1972	IN	1404	0.515	0.515	32.91	1	1	0	100,327	94,492	100,327	94,492	us_house	IN1972	4	1972	IN1	D	X
135	1970s_1405	1972	IN	1405	0.359	0.359	30.23	-1	0	0	69,746	124,692	69,746	124,692	us_house	IN1972	5	1972	IN1	R	R
136	1970s_1406	1972	IN	1406	0.352	0.352	26.37	-1	0	0	61,070	112,525	61,070	112,525	us_house	IN1972	6	1972	IN1	R	X
137	1970s_1407	1972	IN	1407	0.384	0.384	34.96	-1	0	0	80,145	128,688	80,145	128,688	us_house	IN1972	7	1972	IN1	R	R
138	1970s_1408	1972	IN	1408	0.366	0.366	34.77	-1	0	0	77,371	133,850	77,371	133,850	us_house	IN1972	8	1972	IN1	R	X
139	1970s_1409	1972	IN	1409	0.629	0.629	36.36	1	1	0	122,698	72,325	122,698	72,325	us_house	IN1972	9	1972	IN1	D	D
140	1970s_1410	1972	IN	1410	0.428	0.428	30.60	-1	0	0	79,756	106,798	79,756	106,798	us_house	IN1972	10	1972	IN1	R	X
141	1970s_1411	1972	IN	1411	0.488	0.488	33.67	1	0	0	91,238	95,839	91,238	95,839	us_house	IN1972	11	1972	IN1	R	X
142	1970s_1601	1972	KS	1601	0.218	0.218	28.04	-1	0	0	40,678	145,712	40,678	145,712	us_house	KS1972	1	1972		R	#N/A
143	1970s_1602	1972	KS	1602	0.609	0.609	30.00	1	1	0	106,276	68,178	106,276	68,178	us_house	KS1972	2	1972		D	#N/A
144	1970s_1603	1972	KS	1603	0.254	0.254	33.38	-1	0	0	43,777	128,616	43,777	128,616	us_house	KS1972	3	1972		R	#N/A
145	1970s_1604	1972	KS	1604	0.253	0.253	32.02	-1	0	0	40,753	120,120	40,753	120,120	us_house	KS1972	4	1972		R	#N/A
146	1970s_1605	1972	KS	1605	0.277	0.277	28.81	-1	0	0	49,169	128,639	49,169	128,639	us_house	KS1972	5	1972		R	#N/A
147	1970s_1701	1972	KY	1701	0.658	0.658	37.30	1	1	0	81,456	42,286	81,456	42,286	us_house	KY1972	1	1972	KY1	D	D
148	1970s_1702	1972	KY	1702	0.615	0.615	34.68	1	1	0	75,871	47,436	75,871	47,436	us_house	KY1972	2	1972	KY1	D	D
149	1970s_1703	1972	KY	1703	0.627	0.627	44.95	1	1	0	86,810	51,634	86,810	51,634	us_house	KY1972	3	1972	KY1	D	D
150	1970s_1704	1972	KY	1704	0.262	0.262	29.55	-1	0	0	39,332	110,902	39,332	110,902	us_house	KY1972	4	1972	KY1	R	R
151	1970s_1705	1972	KY	1705	0.265	0.265	27.32	-1	0	0	39,301	109,264	39,301	109,264	us_house	KY1972	5	1972	KY1	R	R
152	1970s_1706	1972	KY	1706	0.528	0.528	33.42	0	1	0	76,185	68,012	76,185	68,012	us_house	KY1972	6	1972	KY1	D	X
153	1970s_1707	1972	KY	1707	0.619	0.619	41.87	1	1	0	94,840	58,286	94,840	58,286	us_house	KY1972	7	1972	KY1	D	D
154	1970s_1801	1972	LA	1801		0.628	29.20	1	1	1	0	0	78,736	46,670	us_house	LA1972	1	1972		D	#N/A
155	1970s_1802	1972	LA	1802		0.697	40.19	1	1	1	0	0	74,903	32,528	us_house	LA1972	2	1972		D	#N/A
156	1970s_1803	1972	LA	1803	0.460	0.460	23.61	0	0	0	60,521	71,090	60,521	71,090	us_house	LA1972	3	1972		R	#N/A
157	1970s_1804	1972	LA	1804		0.598	24.55	1	1	1	0	0	86,210	57,872	us_house	LA1972	4	1972		D	#N/A
158	1970s_1805	1972	LA	1805		0.607	26.63	1	1	1	0	0	90,422	58,528	us_house	LA1972	5	1972		D	#N/A
159	1970s_1806	1972	LA	1806		0.614	30.33	1	1	1	0	0	110,930	69,716	us_house	LA1972	6	1972		D	#N/A
160	1970s_1807	1972	LA	1807		0.646	32.43	1	1	1	0	0	78,406	42,904	us_house	LA1972	7	1972		D	#N/A
161	1970s_1808	1972	LA	1808	0.824	0.824	37.21	0	1	0	72,607	15,517	72,607	15,517	us_house	LA1972	8	1972		D	#N/A
162	1970s_2101	1972	MA	2101	0.000	0.374	51.19	-1	0	1	0	159,282	60,009	100,389	us_house	MA1972	1	1972	MA1	R	R
163	1970s_2102	1972	MA	2102	1.000	0.636	51.82	1	1	1	137,616	0	87,912	50,304	us_house	MA1972	2	1972	MA1	D	D
164	1970s_2103	1972	MA	2103	1.000	0.643	54.13	1	1	1	156,703	0	100,926	56,096	us_house	MA1972	3	1972	MA1	D	D
165	1970s_2104	1972	MA	2104	0.524	0.524	55.70	1	1	0	101,714	92,250	101,714	92,250	us_house	MA1972	4	1972	MA1	D	D
166	1970s_2105	1972	MA	2105	0.456	0.456	53.04	0	0	0	92,847	110,970	92,847	110,970	us_house	MA1972	5	1972	MA1	R	X
167	1970s_2106	1972	MA	2106	0.641	0.641	52.75	1	1	0	139,697	78,381	139,697	78,381	us_house	MA1972	6	1972	MA1	D	D
168	1970s_2107	1972	MA	2107	0.677	0.677	57.12	1	1	0	135,193	64,357	135,193	64,357	us_house	MA1972	7	1972	MA1	D	D
169	1970s_2108	1972	MA	2108	1.000	0.707	66.07	1	1	1	142,470	0	101,051	41,914	us_house	MA1972	8	1972	MA1	D	D
170	1970s_2109	1972	MA	2109	0.743	0.743	59.43	0		0	67,143	23,177	67,143	23,177	us_house	MA1972	9	1972	MA1	R	X
171	1970s_2110	1972	MA	2110	0.000	0.316	50.37	-1	0	1	0	161,708	51,032	110,432	us_house	MA1972	10	1972	MA1	R	R
172	1970s_2111	1972	MA	2111	1.000	0.661	56.61	1	1	1	154,397	0	102,029	52,439	us_house	MA1972	11	1972	MA1	D	D
173	1970s_2112	1972	MA	2112	0.502	0.502	48.23	0	1	0	117,710	116,592	117,710	116,592	us_house	MA1972	12	1972	MA1	D	D
174	1970s_2001	1972	MD	2001	0.295	0.295	28.40	-1	0	0	36,139	86,326	36,139	86,326	us_house	MD1972	1	1972	MD1	R	X
175	1970s_2002	1972	MD	2002	0.658	0.658	31.68	1	1	0	123,346	64,119	123,346	64,119	us_house	MD1972	2	1972	MD1	D	D
176	1970s_2003	1972	MD	2003	0.697	0.697	32.72	1	1	0	93,093	40,442	93,093	40,442	us_house	MD1972	3	1972	MD1	D	D
177	1970s_2004	1972	MD	2004	0.406	0.406	29.50	0	0	0	59,877	87,534	59,877	87,534	us_house	MD1972	4	1972	MD1	R	R
178	1970s_2005	1972	MD	2005	0.371	0.371	43.30	-1	0	0	53,049	90,016	53,049	90,016	us_house	MD1972	5	1972	MD1	R	X
179	1970s_2006	1972	MD	2006	0.648	0.648	29.37	1	1	0	107,283	58,259	107,283	58,259	us_house	MD1972	6	1972	MD1	D	D
180	1970s_2007	1972	MD	2007	0.800	0.800	73.34	1	1	0	83,749	20,876	83,749	20,876	us_house	MD1972	7	1972	MD1	D	D
181	1970s_2008	1972	MD	2008	0.361	0.361	43.17	-1	0	0	77,551	137,287	77,551	137,287	us_house	MD1972	8	1972	MD1	R	X
182	1970s_1901	1972	ME	1901	0.594	0.594	38.58	1	1	0	129,408	88,588	129,408	88,588	us_house	ME1972	1	1972		D	#N/A
183	1970s_1902	1972	ME	1902	0.456	0.456	38.42	0	0	0	89,135	106,280	89,135	106,280	us_house	ME1972	2	1972		R	#N/A
184	1970s_2201	1972	MI	2201	0.891	0.891	85.79	1	1	0	131,353	16,096	131,353	16,096	us_house	MI1972	1	1972	MI1	D	D
185	1970s_2202	1972	MI	2202	0.436	0.436	44.49	-1	0	0	79,762	103,321	79,762	103,321	us_house	MI1972	2	1972	MI1	R	R
186	1970s_2203	1972	MI	2203	0.402	0.402	37.76	-1	0	0	74,114	110,082	74,114	110,082	us_house	MI1972	3	1972	MI1	R	X
187	1970s_2204	1972	MI	2204	0.327	0.327	32.36	-1	0	0	54,141	111,185	54,141	111,185	us_house	MI1972	4	1972	MI1	R	R
188	1970s_2205	1972	MI	2205	0.381	0.381	38.96	-1	1	0	72,782	118,027	72,782	118,027	us_house	MI1972	5	1972	MI1	D	X
189	1970s_2206	1972	MI	2206	0.494	0.494	41.12	-1	0	0	95,209	97,666	95,209	97,666	us_house	MI1972	6	1972	MI1	R	X
190	1970s_2207	1972	MI	2207	0.299	0.299	45.81	-1	0	0	48,883	114,656	48,883	114,656	us_house	MI1972	7	1972	MI1	R	X
191	1970s_2208	1972	MI	2208	0.399	0.399	38.05	-1	0	0	66,873	100,597	66,873	100,597	us_house	MI1972	8	1972	MI1	R	X
